experiment_id,cross_id,brood_id,vial_unique_id,treatment_id,data_collector,raw_egg_count,wall_egg_count,drip_egg_count,hole_egg_count,total_egg_count
SK_14,14,E,SK_14_14_E,multiply_marked,MS,159,4,0,0,163
SK_14,17,E,SK_14_17_E,multiply_marked,MS,130,0,0,0,130
SK_14,18,E,SK_14_18_E,multiply_marked,MS,167,5,0,0,172
SK_14,19,E,SK_14_19_E,multiply_marked,MS,171,0,7,0,178
SK_14,1,F,SK_14_1_F,multiply_marked,MS,190,0,0,0,190
SK_14,3,F,SK_14_3_F,multiply_marked,MS,131,0,0,0,131
SK_14,5,F,SK_14_5_F,multiply_marked,MS,145,0,0,0,145
SK_14,6,F,SK_14_6_F,multiply_marked,MS,162,0,0,0,162
SK_14,8,F,SK_14_8_F,multiply_marked,MS,166,0,0,0,166
SK_14,12,F,SK_14_12_F,multiply_marked,MS,116,2,0,0,118
SK_14,14,F,SK_14_14_F,multiply_marked,MS,151,4,0,0,155
SK_14,17,F,SK_14_17_F,multiply_marked,MS,134,0,0,0,134
SK_14,18,F,SK_14_18_F,multiply_marked,MS,104,2,4,0,110
SK_14,19,F,SK_14_19_F,multiply_marked,MS,128,0,0,0,128
SK_14,1,G,SK_14_1_G,multiply_marked,MS,191,2,0,0,193
SK_14,3,G,SK_14_3_G,multiply_marked,MS,194,1,0,0,195
SK_14,5,G,SK_14_5_G,multiply_marked,MS,208,1,0,0,209
SK_14,6,G,SK_14_6_G,multiply_marked,MS,216,0,0,0,216
SK_14,8,G,SK_14_8_G,multiply_marked,MS,197,0,0,0,197
SK_14,12,G,SK_14_12_G,multiply_marked,MS,210,0,0,0,210
SK_14,14,G,SK_14_14_G,multiply_marked,MS,170,0,0,0,170
SK_14,17,G,SK_14_17_G,multiply_marked,MS,143,0,0,0,143
SK_14,18,G,SK_14_18_G,multiply_marked,MS,178,7,0,0,185
SK_14,19,G,SK_14_19_G,multiply_marked,MS,161,0,0,0,161
SK_14,1,H,SK_14_1_H,multiply_marked,MS,112,1,0,0,113
SK_14,3,H,SK_14_3_H,multiply_marked,MS,104,0,0,0,104
SK_14,5,H,SK_14_5_H,multiply_marked,MS,158,0,0,0,158
SK_14,6,H,SK_14_6_H,multiply_marked,MS,199,5,0,0,204
SK_14,8,H,SK_14_8_H,multiply_marked,MS,179,1,0,0,180
SK_14,12,H,SK_14_12_H,multiply_marked,MS,163,0,0,0,163
SK_14,14,H,SK_14_14_H,multiply_marked,MS,200,0,0,0,200
SK_14,17,H,SK_14_17_H,multiply_marked,MS,177,1,0,0,178
SK_14,18,H,SK_14_18_H,multiply_marked,MS,107,1,0,0,108
SK_14,19,H,SK_14_19_H,multiply_marked,MS,169,0,0,0,169
SK_14,1,I,SK_14_1_I,multiply_marked,MS,157,1,0,0,158
SK_14,3,I,SK_14_3_I,multiply_marked,MS,110,0,0,0,110
SK_14,5,I,SK_14_5_I,multiply_marked,MS,117,1,0,0,118
SK_14,6,I,SK_14_6_I,multiply_marked,MS,118,0,0,0,118
SK_14,8,I,SK_14_8_I,multiply_marked,MS,111,0,0,0,111
SK_14,12,I,SK_14_12_I,multiply_marked,MS,158,0,0,0,158
SK_14,14,I,SK_14_14_I,multiply_marked,MS,122,0,0,0,122
SK_14,17,I,SK_14_17_I,multiply_marked,MS,94,0,0,0,94
SK_14,18,I,SK_14_18_I,multiply_marked,MS,133,1,0,0,134
SK_14,19,I,SK_14_19_I,multiply_marked,MS,118,0,0,0,118
SK_14,1,J,SK_14_1_J,multiply_marked,MS,137,0,0,0,137
SK_14,3,J,SK_14_3_J,multiply_marked,MS,91,0,0,0,91
SK_14,5,J,SK_14_5_J,multiply_marked,MS,118,0,0,0,118
SK_14,6,J,SK_14_6_J,multiply_marked,MS,207,0,0,0,207
SK_14,8,J,SK_14_8_J,multiply_marked,MS,199,0,0,0,199
SK_14,12,J,SK_14_12_J,multiply_marked,MS,125,0,0,0,125
SK_14,14,J,SK_14_14_J,multiply_marked,MS,180,0,0,0,180
SK_14,17,J,SK_14_17_J,multiply_marked,MS,126,0,0,0,126
SK_14,18,J,SK_14_18_J,multiply_marked,MS,164,0,0,0,164
SK_14,19,J,SK_14_19_J,multiply_marked,MS,136,0,0,0,136
