experiment_id,cross_id,brood_id,vial_unique_id,treatment_id,data_collector,raw_egg_count,wall_eggs_count,drip_egg_count,hole_egg_count,total_egg_count
SK_14,13,H,SK_14_13_H,marker_free,EH,124,0,0,0,124
SK_14,15,H,SK_14_15_H,marker_free,EH,157,0,0,0,157
SK_14,16,H,SK_14_16_H,marker_free,EH,132,0,0,0,132
SK_14,20,H,SK_14_20_H,marker_free,EH,58,0,0,0,58
SK_14,2,I,SK_14_2_I,marker_free,EH,77,0,0,0,77
SK_14,4,I,SK_14_4_I,marker_free,EH,75,0,0,0,75
SK_14,7,I,SK_14_7_I,marker_free,EH,73,0,0,0,73
SK_14,9,I,SK_14_9_I,marker_free,EH,78,0,0,0,78
SK_14,10,I,SK_14_10_I,marker_free,EH,51,0,0,0,51
SK_14,11,I,SK_14_11_I,marker_free,EH,84,0,0,0,84
SK_14,13,I,SK_14_13_I,marker_free,EH,121,0,0,0,121
SK_14,15,I,SK_14_15_I,marker_free,EH,128,0,0,0,128
SK_14,16,I,SK_14_16_I,marker_free,EH,116,0,0,0,116
SK_14,20,I,SK_14_20_I,marker_free,EH,84,0,0,0,84
SK_14,2,J,SK_14_2_J,marker_free,EH,83,1,0,0,84
SK_14,4,J,SK_14_4_J,marker_free,EH,46,1,0,0,47
SK_14,7,J,SK_14_7_J,marker_free,EH,101,0,0,0,101
SK_14,9,J,SK_14_9_J,marker_free,EH,35,0,0,0,35
SK_14,10,J,SK_14_10_J,marker_free,EH,67,0,0,0,67
SK_14,11,J,SK_14_11_J,marker_free,EH,60,0,0,0,60
SK_14,13,J,SK_14_13_J,marker_free,EH,78,0,0,0,78
SK_14,15,J,SK_14_15_J,marker_free,EH,133,0,0,0,133
SK_14,16,J,SK_14_16_J,marker_free,EH,97,0,0,0,97
SK_14,20,J,SK_14_20_J,marker_free,EH,88,0,0,0,88
