experiment_id,cross_id,brood_id,vial_unique_id,treatment_id,data_collector,raw_egg_count,wall_eggs_count,drip_egg_count,hole_egg_count,total_egg_count
SK_14,10,G,SK_14_10_G,marker_free,MS,88,1,0,0,89
SK_14,11,G,SK_14_11_G,marker_free,MS,132,2,0,0,134
SK_14,13,G,SK_14_13_G,marker_free,MS,114,0,0,0,114
SK_14,15,G,SK_14_15_G,marker_free,MS,167,0,0,0,167
SK_14,16,G,SK_14_16_G,marker_free,MS,137,0,0,0,137
SK_14,20,G,SK_14_20_G,marker_free,MS,103,0,0,0,103
SK_14,2,H,SK_14_2_H,marker_free,MS,73,0,0,0,73
SK_14,4,H,SK_14_4_H,marker_free,MS,95,0,0,0,95
SK_14,7,H,SK_14_7_H,marker_free,MS,100,1,0,0,101
SK_14,9,H,SK_14_9_H,marker_free,MS,77,0,0,0,77
SK_14,10,H,SK_14_10_H,marker_free,MS,64,0,0,0,64
SK_14,11,H,SK_14_11_H,marker_free,MS,85,0,0,0,85
SK_14,13,H,SK_14_13_H,marker_free,MS,122,0,0,0,122
SK_14,15,H,SK_14_15_H,marker_free,MS,142,0,0,0,142
SK_14,16,H,SK_14_16_H,marker_free,MS,123,0,0,0,123
SK_14,20,H,SK_14_20_H,marker_free,MS,57,0,0,0,57
SK_14,2,I,SK_14_2_I,marker_free,MS,72,0,0,0,72
SK_14,4,I,SK_14_4_I,marker_free,MS,71,0,0,0,71
SK_14,7,I,SK_14_7_I,marker_free,MS,69,0,0,0,69
SK_14,9,I,SK_14_9_I,marker_free,MS,68,0,0,0,68
SK_14,10,I,SK_14_10_I,marker_free,MS,44,0,0,0,44
SK_14,11,I,SK_14_11_I,marker_free,MS,78,0,0,0,78
SK_14,13,I,SK_14_13_I,marker_free,MS,108,0,0,0,108
SK_14,15,I,SK_14_15_I,marker_free,MS,121,0,0,0,121
SK_14,16,I,SK_14_16_I,marker_free,MS,104,0,0,0,104
SK_14,20,I,SK_14_20_I,marker_free,MS,78,0,0,0,78
SK_14,2,J,SK_14_2_J,marker_free,MS,78,1,0,0,79
SK_14,4,J,SK_14_4_J,marker_free,MS,45,1,0,0,46
SK_14,7,J,SK_14_7_J,marker_free,MS,97,0,0,0,97
SK_14,9,J,SK_14_9_J,marker_free,MS,34,0,0,0,34
SK_14,10,J,SK_14_10_J,marker_free,MS,77,0,0,0,77
SK_14,11,J,SK_14_11_J,marker_free,MS,56,0,0,0,56
SK_14,13,J,SK_14_13_J,marker_free,MS,77,0,0,0,77
SK_14,15,J,SK_14_15_J,marker_free,MS,122,0,0,0,122
SK_14,16,J,SK_14_16_J,marker_free,MS,99,0,0,0,99
SK_14,20,J,SK_14_20_J,marker_free,MS,82,0,0,0,82
